source	target
*edges	
1	2
1	4
1	5
1	7
1	10
1	11
1	17
1	19
2	4
2	4
2	6
2	7
2	12
2	13
2	15
2	18
2	19
3	15
4	1
4	2
4	5
4	7
4	12
4	15
4	17
4	18
4	19
5	1
5	2
5	4
5	7
5	8
5	12
5	17
5	18
5	19
6	2
6	8
6	12
6	19
7	1
7	2
7	4
7	5
7	8
7	12
7	18
7	19
8	7
8	19
9	1
10	1
10	5
10	11
10	17
11	1
11	5
11	12
11	17
11	19
11	10
12	1
12	2
12	5
12	6
12	7
12	10
12	11
12	19
13	2
13	19
14	15
15	14
15	16
15	1
15	2
15	3
15	4
16	14
16	15
17	1
17	5
17	7
17	10
17	12
17	11
17	19
18	1
18	2
18	4
18	5
18	15
15	18
19	1
19	2
19	5
19	10
19	11
19	17
21	1
21	2
21	3
21	4
21	5
21	6
21	7
21	8
21	9
21	10
21	11
21	12
21	13
21	14
21	15
21	16
21	17
21	18
21	19
1	21
2	21
3	21
4	21
5	21
6	21
7	21
8	21
9	21
10	21
11	21
12	21
13	21
14	21
15	21
16	21
17	21
18	21
19	21
