Label	Gender	Core	Node_Set
1	0	1	1
2	1	1	1
3	1	1	1
4	0	1	1
5	1	1	1
6	0	1	1
7	1	1	1
8	1	1	1
9	1	1	1
10	0	1	1
11	0	1	1
12	1	0	1
13	0	0	1
14	0	0	1
15	1	0	1
16	1	0	1
17	1	0	1
18	1	0	1
19	1	0	1
20	1	0	1
21	1	0	1
22	1	0	1
23	1	0	1
24	1	0	1
25	1	0	1
26	0	0	1
27	0	0	1
28	0	0	1
29	1	0	1
30	1	0	1
31	0	0	1
32	0	0	1
33	1	0	1
34	1	0	1
35	1	0	1
36	1	0	1
37	1	0	1
38	0	0	1
39	1	0	1
40	1	0	1
41	1	0	1
42	1	0	1
43	0	0	1
44	1	0	1
45	1	0	1
46	0	0	1
47	0	0	1
48	1	0	1
49	1	0	1
50	1	0	1
51	1	0	1
52	0	0	2
53	0	0	2
54	0	0	2
55	0	0	2
56	0	0	2
57	0	0	2
58	0	0	2
59	0	0	2
60	0	0	2
61	0	0	2
62	0	0	2
63	0	0	2
64	0	0	2
65	0	0	2
66	0	0	2
67	0	0	2
68	0	0	2
69	0	0	2
70	0	0	2
71	0	0	2
72	0	0	2
73	0	0	2
74	0	0	2
75	0	0	2
76	0	0	2
77	0	0	2
78	0	0	2
79	0	0	2
80	0	0	2
81	0	0	2
82	0	0	2
83	0	0	2
84	0	0	2
85	0	0	2
86	0	0	2
87	0	0	2
88	0	0	2
89	0	0	2
90	0	0	2
91	0	0	2
92	0	0	2
93	0	0	2
94	0	0	2
