Perc_Academic	CompleteYears	STEM_overall	k6_overall	School_support
2.5	2	1	12	5
1	2	1.4	12	4.666666667
3.5	2	1.2	11	6.333333333
7.4	4	1	10	6
7.2	2	1	10	6.833333333
5.6	10	5.8	30	4.166666667
2.8	2	1	12	4.666666667
4.2	10	2	19	3.666666667
7	2	2	11	5.666666667
9.6	2	1.6	11	5.5
8.1	3	4.4	15	6.333333333
9.3	5	1.2	12	5.833333333
2.3	2	1.8	14	3.666666667
9.9	11	1	12	6.833333333
1.5	1	2.6	12	4.833333333
1.4	2	2.6	9	5.333333333
3.2	4	2.2	13	3.333333333
2.7	3	4	15	5.333333333
6.1	2	1.6	9	6.333333333
1.9	7	2	11	5.5
0.7	4	2.4	9	5.833333333
1.5	3	1	14	5.166666667
7.5	4	1.2	19	4.5
3.1	2	1.8	6	4.833333333
9	2	1	17	3.5
5.7	4	1.8	12	4.166666667
9.7	0	1	9	6.333333333
0	8	1.6	11	4.833333333
8	2	2	14	5.833333333
7.1	2	1	9	5.666666667
5.6	4	1.2	13	5.333333333
2.3	11	1.6	9	6.666666667
0.4	10	1	15	3.333333333
5.6	2	1.8	10	5.5
9.1	1	1.4	10	5
8.5	2	1.2	8	4.833333333
2.6	2	2.2	7	6.833333333
5.4	2	4	15	5.833333333
6.5	3	2.2	19	5.666666667
6.7	2	1	12	3.666666667
0.4	6	1	14	5
5.1	2	3	10	6
1.5	9	3	13	4
3.9	5	1.4	12	6
4.2	4	4	15	3
9.1	5	1	7	6.166666667
5	0	5.2	8	4.5
3.7	2	1	12	6.333333333
6.9	4	3.4	10	4.666666667
2.6	2	4	10	3.833333333
7	11	2	9	3.666666667
6.7	1	1.6	15	4.833333333
6.1	2	1	7	6.166666667
9.4	0	1	12	5.5
8.8	2	3	12	5.333333333
9.5	6	2	18	5
1.1	7	2.6	11	4.833333333
2.8	2	2.4	12	5.833333333
2.2	4	6	18	5
2.5	3	3	12	5.833333333
4	11	2	9	5.666666667
9	9	1	10	4.666666667
6.1	5	2.2	14	5.166666667
2.7	2	1.4	11	5.166666667
9.4	1	1	18	5.666666667
9.9	5	1	9	5.333333333
7.4	0	1	10	5.5
2.3	6	1.6	9	5.166666667
8.6	2	1.4	8	5.166666667
5.7	3	1	10	7
9.8	2	1	16	6
1.8	6	4	11	4.166666667
4.1	2	1	7	5.333333333
1.1	7	2.2	20	3.666666667
8.6	2	1.4	7	5.333333333
5	0	3.4	15	6.5
4.4	2	1.4	14	5.166666667
9.1	6	1.2	15	3.833333333
8.3	2	1.2	6	4.333333333
7.5	2	1.8	15	4
3.7	6	1.2	17	4.5
2.4	2	1.4	6	5.833333333
7.3	0	1.2	16	5.5
5.5	1	2.2	11	6
9.4	5	1	11	5.5
8	3	1.4	9	6.333333333
8.8	3	4	7	5.833333333
7.7	2	1.8	14	6.333333333
0.2	3	4	18	4
1.8	2	2	10	4.333333333
4.7	2	1.4	11	5.5
4.9	4	1	11	5.833333333
8	1	1	11	5.166666667
7.7	6	1	12	4.833333333
9.3	2	1.6	19	6
8.2	0	1.4	18	4.666666667
9.3	2	1.8	9	5.5
5.6	2	1.4	18	5.166666667
2.9	5	4.2	22	3.333333333
4.2	2	2.2	13	4
3.3	2	1	9	5.833333333
5	0	1.2	12	4.833333333
7.4	2	1	16	5.833333333
0.5	11	2.6	16	4.333333333
1.1	3	1.8	30	3
7.8	7	2	12	5.666666667
3	2	1.4	10	4
8.2	2	2	12	6
9	2	1	11	6.666666667
1.6	9	1	12	5.666666667
0.1	2	2.8	6	4.166666667
0.9	2	1	27	3.333333333
5.2	2	1	8	6.333333333
2.4	2	1.6	10	4.666666667
7	2	1	11	4
4.1	2	1	18	5.166666667
2.9	2	2.2	11	4.5
7.8	2	1.6	14	4.833333333
9.6	5	1	11	6.333333333
3.9	1	3.2	22	4.5
3.7	4	1.2	12	5.666666667
6.9	2	1.8	19	5
6	4	1.4	20	3.666666667
4.4	2	3.2	15	5.166666667
8.4	6	1	9	6.833333333
8.9	2	3.2	10	6
2.2	2	1	10	4.166666667
7.8	9	1	6	5
5.5	9	7	13	3.666666667
0.6	4	3.6	14	6.166666667
5.9	2	1.8	0	5.333333333
7.6	2	2.2	10	4.333333333
6.2	11	4	14	4.333333333
0.9	5	2.2	9	5.5
1.8	2	2.4	10	4.666666667
8.4	0	1	11	6
6.8	2	1	12	5.333333333
5	0	4.4	9	3.666666667
6.3	2	1.8	11	5.333333333
5.3	2	1.8	16	5.166666667
5	0	3.6	24	4.5
5.9	2	2.6	10	4.166666667
0.1	2	3.6	14	5.166666667
0.3	8	1.8	20	5
1.9	3	1.8	20	4.166666667
1.9	4	2.4	15	4.833333333
6.6	5	1	7	6.5
7.9	1	2.2	12	4.666666667
2.7	11	1.2	11	5.166666667
5.4	2	2.4	8	6.166666667
