source,target
32561,32548
32531,32521
32531,32538
32531,32458
32531,32460
32531,32562
32531,32554
32531,32563
32531,32395
32444,32557
32444,32475
32444,32500
32444,32526
32444,32447
32444,32448
32450,32536
32450,32524
32450,32511
32450,32482
32450,32506
32450,32481
32450,32450
32450,32521
32393,32396
32393,32544
32393,32405
32393,32485
32393,32443
32494,32495
32494,32395
32494,32454
32494,32512
32494,32419
32481,32482
32481,32416
32481,32506
32481,32450
32481,32536
32481,32511
32481,32524
32516,32448
32516,32541
32516,32479
32431,32551
32431,32464
32431,32425
32431,32391
32431,32525
32431,32477
32431,32507
32431,32440
32431,32470
32431,32418
32431,32393
32431,32535
32431,32443
32431,32549
32431,32485
32431,32405
32431,32514
32431,32552
32431,32466
32431,32439
32431,32478
32474,32413
32474,32408
32474,32499
32474,32529
32474,32406
32437,32523
32437,32420
32437,32540
32437,32397
32437,32432
32437,32428
32472,32471
32472,32452
32423,32488
32423,32555
32423,32434
32423,32427
32423,32543
32423,32407
32422,32504
32422,32522
32422,32545
32422,32421
32422,32436
32422,32432
32422,32465
32452,32484
32452,32452
32452,32471
32452,32472
32537,32484
32395,32454
32395,32494
32395,32475
32395,32528
32395,32415
32457,32476
32457,32483
32457,32439
32457,32490
32505,32462
32505,32558
32505,32515
32434,32488
32434,32394
32434,32519
32434,32427
32434,32423
32434,32543
32434,32407
32434,32542
32406,32518
32406,32491
32406,32443
32406,32425
32406,32408
32406,32439
32406,32551
32406,32431
32535,32418
32535,32426
32535,32396
32535,32508
32535,32401
32497,32412
32454,32495
32454,32494
32454,32479
32454,32448
32449,32520
32449,32531
32436,32422
32436,32421
32436,32521
32436,32504
32436,32432
32436,32545
32436,32522
32550,32408
32550,32477
32490,32476
32490,32457
32490,32455
32490,32510
32490,32448
32496,32416
32496,32415
32496,32498
32496,32433
32496,32543
32496,32546
32496,32480
32502,32488
32502,32434
32502,32549
32502,32423
32502,32518
32502,32427
32502,32460
32441,32489
32441,32410
32541,32447
32541,32408
32541,32413
32541,32448
32541,32405
32541,32529
32541,32487
32541,32491
32541,32516
32541,32473
32541,32499
32541,32440
32541,32495
32541,32550
32541,32444
32541,32514
32541,32477
32518,32443
32518,32491
32518,32406
32518,32405
32518,32507
32518,32396
32518,32393
32518,32459
32518,32411
