Source	Target
1	53
1	59
1	60
1	78
1	81
2	53
2	54
2	55
2	56
2	57
2	58
2	59
2	60
2	61
2	62
2	63
2	64
2	65
2	66
2	67
2	68
2	69
2	70
2	71
2	72
2	73
2	74
2	75
2	76
2	77
2	78
2	79
2	80
2	81
2	82
2	83
2	84
2	85
2	86
2	87
2	88
2	89
2	90
2	91
2	92
2	93
2	94
3	56
3	66
3	69
3	81
3	88
3	93
4	54
4	82
4	92
5	64
5	65
5	66
5	69
5	84
5	89
5	93
6	56
6	62
6	77
6	94
7	53
7	64
7	78
7	85
7	94
8	65
8	78
8	91
8	92
8	93
9	68
9	81
9	82
10	58
10	62
10	67
10	69
10	83
11	59
11	71
11	84
12	86
13	77
14	88
15	91
16	57
17	94
18	84
18	94
19	59
19	61
20	75
21	52
22	71
23	72
23	77
24	52
25	74
25	78
26	66
27	61
27	70
27	89
28	55
29	91
30	62
30	93
31	76
31	88
32	63
32	79
33	55
33	58
34	52
34	68
35	78
36	82
36	83
37	63
38	91
39	71
39	90
40	54
40	93
41	52
41	77
41	84
42	56
43	82
44	55
45	59
46	73
46	91
47	65
48	83
48	93
49	65
49	71
50	67
50	71
50	85
51	62
