Goodness-of-fit for out-degree 

          obs min  mean max MC p-value
odegree0   13   0  0.28   2       0.00
odegree1    5   0  1.67   5       0.08
odegree2   13   0  4.76  10       0.00
odegree3   17   5 11.11  20       0.16
odegree4   10   7 19.04  30       0.02
odegree5   25  14 24.24  35       0.94
odegree6   16  16 26.37  38       0.02
odegree7   22  15 26.92  41       0.26
odegree8   14  14 21.88  33       0.04
odegree9    6   7 16.31  28       0.00
odegree10   6   5 10.63  18       0.10
odegree11   6   0  5.96  13       1.00
odegree12   3   0  3.11   9       1.00
odegree13   0   0  1.54   5       0.38
odegree14   4   0  0.72   3       0.00
odegree15   6   0  0.28   2       0.00
odegree16   1   0  0.13   1       0.26
odegree17   2   0  0.04   1       0.00
odegree18   1   0  0.00   0       0.00
odegree20   1   0  0.01   1       0.02
odegree21   1   0  0.00   0       0.00
odegree22   1   0  0.00   0       0.00
odegree23   1   0  0.00   0       0.00
odegree34   1   0  0.00   0       0.00

Goodness-of-fit for in-degree 

          obs min  mean max MC p-value
idegree0    2   0  0.22   2       0.02
idegree1    9   0  1.50   6       0.00
idegree2   14   0  5.28  12       0.00
idegree3   17   3 10.91  21       0.10
idegree4   17  11 18.57  29       0.80
idegree5   11  17 25.25  38       0.00
idegree6   24  16 27.47  40       0.60
idegree7   19  15 25.34  36       0.22
idegree8   12  12 21.53  36       0.04
idegree9    8   8 15.85  26       0.04
idegree10  14   3 10.56  22       0.30
idegree11   7   1  6.21  13       0.92
idegree12  12   0  3.53  12       0.02
idegree13   1   0  1.52   6       1.00
idegree14   2   0  0.79   4       0.38
idegree15   0   0  0.29   3       1.00
idegree16   4   0  0.13   2       0.00
idegree17   0   0  0.03   2       1.00
idegree18   1   0  0.01   1       0.02
idegree19   1   0  0.01   1       0.02

Goodness-of-fit for model statistics 

                       obs  min    mean  max MC p-value
edges                 1159 1078 1156.81 1253       0.90
nodematch.Perc_Effort  363  326  365.52  405       0.96
